# Lego2STL colour cross-reference. Generated from the Rebrickable API; do not hand-edit.
# Regenerate with: lego2stl refresh-colors
# C lines are colours. M lines are the reverse map: scheme;code;rebrickable_id.
C;rebrickable_id;name;rgb;is_trans;bricklink_id;lego_id;ldraw_id;part_count
C;-1;[Unknown];#0033B2;0;;125;16;17
C;0;Black;#05131D;0;11;26;0;840746
C;1;Blue;#0055BF;0;7;23;1;208588
C;2;Green;#237841;0;6;28;2;91733
C;3;Dark Turquoise;#008F9B;0;39;107;3;23925
C;4;Red;#C91A09;0;5;21;4;322469
C;5;Dark Pink;#C870A0;0;47;221;5;16401
C;6;Brown;#583927;0;8;25;6;9557
C;7;Light Gray;#9BA19D;0;9;2;7;92819
C;8;Dark Gray;#6D6E5C;0;10;27;8;22448
C;9;Light Blue;#B4D2E3;0;62;45;9;43
C;10;Bright Green;#4B9F4A;0;36;37;10;28395
C;11;Light Turquoise;#55A5AF;0;40;116;11;164
C;12;Salmon;#F2705E;0;25;101;12;185
C;13;Pink;#FC97AC;0;23;9;13;482
C;14;Yellow;#F2CD37;0;3;24;14;217009
C;15;White;#FFFFFF;0;1;1;15;520707
C;17;Light Green;#C2DAB8;0;38;6;17;166
C;18;Light Yellow;#FBE696;0;33;3;18;340
C;19;Tan;#E4CD9E;0;2;5;19;197138
C;20;Light Violet;#C9CAE2;0;44;39;20;186
C;21;Glow In Dark Opaque;#D4D5C9;0;46;50;21;215
C;22;Purple;#81007B;0;24;104;22;1005
C;23;Dark Blue-Violet;#2032B0;0;109;196;23;9
C;25;Orange;#FE8A18;0;4;106;25;55299
C;26;Magenta;#923978;0;71;124;26;13915
C;27;Lime;#BBE90B;0;34;119;27;46345
C;28;Dark Tan;#958A73;0;69;138;28;73972
C;29;Bright Pink;#E4ADC8;0;104;222;29;19016
C;30;Medium Lavender;#AC78BA;0;157;324;30;10233
C;31;Lavender;#E1D5ED;0;154;325;31;8870
C;32;Trans-Black IR Lens;#635F52;1;;109;32;0
C;33;Trans-Dark Blue;#0020A0;1;14;43;33;10704
C;34;Trans-Green;#84B68D;1;20;48;34;5422
C;35;Trans-Bright Green;#D9E4A7;1;108;311;35;3730
C;36;Trans-Red;#C91A09;1;17;41;36;20608
C;40;Trans-Brown;#635F52;1;13;111;40;8657
C;41;Trans-Light Blue;#AEEFEC;1;15;42;43;33081
